word	nodeType	unit
furious	ADJ	txt-imp-malecopy
many	ADJ	txt-imp-malecopy
chief	ADJ	txt-imp-malecopy
other	ADJ	txt-imp-malecopy
same	ADJ	txt-imp-malecopy
brute	ADJ	txt-imp-malecopy
solicitous	ADJ	txt-imp-malecopy
carnal	ADJ	txt-imp-malecopy
certain	ADJ	txt-imp-malecopy
vehement	ADJ	txt-imp-malecopy
unbridled	ADJ	txt-imp-malecopy
divine	ADJ	txt-imp-malecopy
noble	ADJ	txt-imp-malecopy
subject	ADJ	txt-imp-malecopy
abject	ADJ	txt-imp-malecopy
filthy	ADJ	txt-imp-malecopy
carnal	ADJ	txt-imp-malecopy
venereous	ADJ	txt-imp-malecopy
possible	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
apparent	ADJ	txt-imp-malecopy
good	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
undoubted	ADJ	txt-imp-malecopy
such	ADJ	txt-imp-malecopy
male	ADJ	txt-imp-malecopy
small	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
interesting	ADJ	txt-imp-malecopy
strong	ADJ	txt-imp-malecopy
healthy	ADJ	txt-imp-malecopy
slight	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
venereal	ADJ	txt-imp-malecopy
latter	ADJ	txt-imp-malecopy
libidinous	ADJ	txt-imp-malecopy
lewd	ADJ	txt-imp-malecopy
nervous	ADJ	txt-imp-malecopy
physical	ADJ	txt-imp-malecopy
seminal	ADJ	txt-imp-malecopy
unpleasant	ADJ	txt-imp-malecopy
mental	ADJ	txt-imp-malecopy
physical	ADJ	txt-imp-malecopy
vigorous	ADJ	txt-imp-malecopy
manual	ADJ	txt-imp-malecopy
sure	ADJ	txt-imp-malecopy
emphatic	ADJ	txt-imp-malecopy
frank	ADJ	txt-imp-malecopy
erotic	ADJ	txt-imp-malecopy
various	ADJ	txt-imp-malecopy
duced	ADJ	txt-imp-malecopy
excited	ADJ	txt-imp-malecopy
psychical	ADJ	txt-imp-malecopy
tactile	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
undeveloped	ADJ	txt-imp-malecopy
remarkable	ADJ	txt-imp-malecopy
excited	ADJ	txt-imp-malecopy
latter	ADJ	txt-imp-malecopy
many	ADJ	txt-imp-malecopy
considerable	ADJ	txt-imp-malecopy
certain	ADJ	txt-imp-malecopy
ble	ADJ	txt-imp-malecopy
strange	ADJ	txt-imp-malecopy
anxious	ADJ	txt-imp-malecopy
own	ADJ	txt-imp-malecopy
least	ADJ	txt-imp-malecopy
platonic	ADJ	txt-imp-malecopy
sible	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
possible	ADJ	txt-imp-malecopy
possible	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
impossible	ADJ	txt-imp-malecopy
civil	ADJ	txt-imp-malecopy
other	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
full	ADJ	txt-imp-malecopy
ordinary	ADJ	txt-imp-malecopy
venereal	ADJ	txt-imp-malecopy
overwhelming	ADJ	txt-imp-malecopy
large	ADJ	txt-imp-malecopy
drunken	ADJ	txt-imp-malecopy
strong	ADJ	txt-imp-malecopy
powerful	ADJ	txt-imp-malecopy
dis¬	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
many	ADJ	txt-imp-malecopy
flaccid	ADJ	txt-imp-malecopy
reciprocal	ADJ	txt-imp-malecopy
comatose	ADJ	txt-imp-malecopy
severe	ADJ	txt-imp-malecopy
cerebral	ADJ	txt-imp-malecopy
ous	ADJ	txt-imp-malecopy
abolish¬	ADJ	txt-imp-malecopy
natural	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
engrossing	ADJ	txt-imp-malecopy
foreign	ADJ	txt-imp-malecopy
more	ADJ	txt-imp-malecopy
less	ADJ	txt-imp-malecopy
familiar	ADJ	txt-imp-malecopy
own	ADJ	txt-imp-malecopy
temporary	ADJ	txt-imp-malecopy
mental	ADJ	txt-imp-malecopy
other	ADJ	txt-imp-malecopy
ual	ADJ	txt-imp-malecopy
intellectual	ADJ	txt-imp-malecopy
emotional	ADJ	txt-imp-malecopy
ual	ADJ	txt-imp-malecopy
severe	ADJ	txt-imp-malecopy
continuous	ADJ	txt-imp-malecopy
probable	ADJ	txt-imp-malecopy
incapable	ADJ	txt-imp-malecopy
mere	ADJ	txt-imp-malecopy
sufficient	ADJ	txt-imp-malecopy
impotent	ADJ	txt-imp-malecopy
temporary	ADJ	txt-imp-malecopy
sudden	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
several	ADJ	txt-imp-malecopy
interesting	ADJ	txt-imp-malecopy
married	ADJ	txt-imp-malecopy
kind	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
ludicrous	ADJ	txt-imp-malecopy
very	ADJ	txt-imp-malecopy
flaccid	ADJ	txt-imp-malecopy
previous	ADJ	txt-imp-malecopy
vigorous	ADJ	txt-imp-malecopy
funny	ADJ	txt-imp-malecopy
comic	ADJ	txt-imp-malecopy
previous	ADJ	txt-imp-malecopy
similar	ADJ	txt-imp-malecopy
like	ADJ	txt-imp-malecopy
great	ADJ	txt-imp-malecopy
mental	ADJ	txt-imp-malecopy
spirited	ADJ	txt-imp-malecopy
several	ADJ	txt-imp-malecopy
serious	ADJ	txt-imp-malecopy
young	ADJ	txt-imp-malecopy
professional	ADJ	txt-imp-malecopy
nightly	ADJ	txt-imp-malecopy
strong	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
unable	ADJ	txt-imp-malecopy
technical	ADJ	txt-imp-malecopy
sure	ADJ	txt-imp-malecopy
personal	ADJ	txt-imp-malecopy
impressionable	ADJ	txt-imp-malecopy
first	ADJ	txt-imp-malecopy
most	ADJ	txt-imp-malecopy
other	ADJ	txt-imp-malecopy
lasting	ADJ	txt-imp-malecopy
next	ADJ	txt-imp-malecopy
excited	ADJ	txt-imp-malecopy
similar	ADJ	txt-imp-malecopy
expectant	ADJ	txt-imp-malecopy
painful	ADJ	txt-imp-malecopy
essential	ADJ	txt-imp-malecopy
due	ADJ	txt-imp-malecopy
sexual	ADJ	txt-imp-malecopy
sure	ADJ	txt-imp-malecopy
first	ADJ	txt-imp-malecopy
slight	ADJ	txt-imp-malecopy
normal	ADJ	txt-imp-malecopy
only	ADJ	txt-imp-malecopy
several	ADJ	txt-imp-malecopy
strong	ADJ	txt-imp-malecopy
